                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                 1.9553,                 2.4322,                   2.56,                0.49872,                0.64051,                0.61869,                0.33367,                 1.9337,                 2.0836,                 2.5464,             0.00057925,             0.00057925,             0.00057925
                     88,                 2.0737,                 2.5758,                 2.6305,                0.46869,                0.60323,                0.60169,                0.31283,                 1.8606,                 1.9806,                 2.4781,              0.0005743,              0.0005743,              0.0005743
                     89,                  2.096,                 2.6979,                  2.712,                0.73038,                0.49411,                0.63968,                0.30605,                 1.9117,                 2.0244,                 2.5147,             0.00056935,             0.00056935,             0.00056935
                     90,                 2.0581,                 2.6229,                 2.6445,                0.68369,                0.51185,                0.60714,                 0.2957,                 1.9117,                 2.0118,                 2.5239,              0.0005644,              0.0005644,              0.0005644
                     91,                 2.0708,                 2.5407,                 2.6543,                0.52297,                0.53187,                0.49998,                0.23584,                 1.9944,                 2.1163,                  2.641,             0.00055945,             0.00055945,             0.00055945
                     92,                 2.0015,                  2.643,                 2.6185,                0.48671,                0.55656,                0.59706,                0.28935,                 1.8845,                  2.101,                 2.5487,              0.0005545,              0.0005545,              0.0005545
                     93,                 1.9889,                 2.5166,                 2.5214,                0.61412,                0.55517,                0.62726,                0.29486,                 1.9397,                 2.0721,                 2.5506,             0.00054955,             0.00054955,             0.00054955
                     94,                 1.9746,                 2.6243,                 2.5564,                0.51499,                0.72221,                0.63658,                0.32805,                 1.8804,                 1.8067,                 2.4792,              0.0005446,              0.0005446,              0.0005446
                     95,                 1.9504,                 2.3734,                 2.5446,                0.69069,                0.40062,                0.64546,                 0.2978,                 1.9939,                 2.2065,                 2.6516,             0.00053965,             0.00053965,             0.00053965
                     96,                 1.9999,                 2.4684,                 2.6054,                0.32404,                0.80694,                0.60542,                0.30914,                 1.9667,                 2.8482,                 2.6393,              0.0005347,              0.0005347,              0.0005347
                     97,                 1.9886,                 2.4033,                 2.5514,                0.45771,                0.74255,                0.64847,                0.31193,                 1.9459,                 2.4505,                 2.5591,             0.00052975,             0.00052975,             0.00052975
                     98,                 2.0082,                 2.3463,                 2.6122,                 0.6013,                0.64712,                 0.6403,                0.31401,                 1.9759,                 1.9944,                 2.5518,              0.0005248,              0.0005248,              0.0005248
                     99,                 1.9682,                 2.4975,                 2.5029,                0.54057,                0.72548,                0.65215,                 0.3249,                 1.9775,                 1.8246,                  2.589,             0.00051985,             0.00051985,             0.00051985
