                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.5266,                 1.4558,                 2.0542,                0.67929,                0.74672,                0.77786,                0.39152,                 1.8706,                 1.3168,                 2.5062,              0.0003235,              0.0003235,              0.0003235
                     84,                 1.5339,                 1.4625,                 2.0672,                0.68436,                0.78481,                0.78402,                0.40658,                 1.7928,                 1.3629,                 2.4139,             0.00031525,             0.00031525,             0.00031525
                     85,                 1.5103,                 1.4406,                 2.0554,                0.68987,                0.76175,                0.77612,                0.39944,                 1.8334,                   1.38,                 2.4765,               0.000307,               0.000307,               0.000307
                     86,                 1.4895,                 1.4133,                 2.0371,                0.70489,                0.76295,                0.79936,                0.40017,                 1.8414,                 1.3319,                 2.4694,             0.00029875,             0.00029875,             0.00029875
                     87,                 1.5329,                 1.4513,                 2.0166,                0.65127,                0.79936,                0.79144,                0.40376,                  1.805,                 1.3311,                 2.4286,              0.0002905,              0.0002905,              0.0002905
                     88,                 1.5376,                 1.4079,                 2.0198,                 0.7237,                0.75351,                0.79631,                0.40048,                 1.8549,                 1.3876,                 2.4951,             0.00028225,             0.00028225,             0.00028225
                     89,                 1.4726,                 1.4346,                 1.9961,                 0.6837,                0.76272,                0.78083,                  0.382,                 1.8691,                 1.3553,                 2.5537,               0.000274,               0.000274,               0.000274
                     90,                 1.4859,                 1.3837,                 1.9707,                0.65577,                0.78657,                0.78017,                0.37433,                 1.9068,                 1.4232,                 2.5795,             0.00026575,             0.00026575,             0.00026575
                     91,                 1.5016,                 1.3991,                 2.0303,                 0.8273,                0.70112,                0.78081,                0.40317,                 1.8396,                 1.3804,                 2.5049,              0.0002575,              0.0002575,              0.0002575
                     92,                 1.4917,                  1.428,                 1.9831,                0.67832,                  0.784,                0.79691,                0.40518,                 1.8311,                 1.3619,                 2.4951,             0.00024925,             0.00024925,             0.00024925
                     93,                 1.4458,                 1.3757,                 1.9591,                 0.7413,                0.77766,                0.81232,                0.40102,                 1.8839,                 1.3828,                 2.5288,               0.000241,               0.000241,               0.000241
                     94,                 1.4628,                 1.3381,                 1.9857,                0.66729,                0.78593,                0.79778,                0.42525,                 1.7959,                 1.3269,                 2.4545,             0.00023275,             0.00023275,             0.00023275
                     95,                  1.521,                 1.3728,                  1.998,                0.70799,                0.74739,                0.78833,                  0.398,                 1.8122,                 1.4254,                 2.4569,              0.0002245,              0.0002245,              0.0002245
                     96,                   1.48,                 1.3759,                 1.9816,                0.69484,                0.76503,                 0.7883,                0.39715,                 1.8557,                 1.3789,                 2.5056,             0.00021625,             0.00021625,             0.00021625
                     97,                 1.5113,                 1.3525,                 1.9895,                0.74922,                0.76805,                0.81565,                0.41637,                 1.8084,                 1.3158,                 2.3945,               0.000208,               0.000208,               0.000208
                     98,                 1.4759,                 1.4014,                 1.9663,                0.70273,                0.77341,                0.80575,                 0.4027,                 1.8536,                 1.3455,                 2.4826,             0.00019975,             0.00019975,             0.00019975
                     99,                 1.4599,                 1.3233,                 1.9991,                0.74813,                0.73795,                0.79267,                0.40473,                 1.8723,                 1.3491,                 2.5572,              0.0001915,              0.0001915,              0.0001915
                    100,                  1.436,                 1.3687,                 2.0025,                0.71479,                0.77692,                 0.7936,                0.41085,                 1.8458,                 1.3173,                 2.4945,             0.00018325,             0.00018325,             0.00018325
                    101,                 1.4502,                 1.2981,                 1.9453,                0.68404,                0.77802,                0.78753,                0.40806,                 1.8921,                 1.3598,                 2.5269,               0.000175,               0.000175,               0.000175
